level,word,meaning,category
英検5級,afternoon,午後,基礎語
英検5級,animal,動物,動物
英検5級,apple,りんご,食べ物
英検5級,bad,悪い,基礎語
英検5級,bag,かばん,学校
英検5級,ball,ボール,基礎語
英検5級,banana,バナナ,食べ物
英検5級,baseball,野球,スポーツ
英検5級,basketball,バスケットボール,スポーツ
英検5級,beautiful,美しい,基礎語
英検5級,bed,ベッド,基礎語
英検5級,big,大きい,基礎語
英検5級,bike,自転車,乗り物
英検5級,bird,鳥,動物
英検5級,black,黒い,色
英検5級,blue,青い,色
英検5級,book,本,学校
英検5級,box,箱,基礎語
英検5級,boy,少年,人
英検5級,bread,パン,食べ物
英検5級,breakfast,朝食,食べ物
英検5級,brother,兄弟,家族
英検5級,bus,バス,乗り物
英検5級,busy,忙しい,基礎語
英検5級,buy,買う,基礎語
英検5級,cake,ケーキ,食べ物
英検5級,call,電話する,基礎語
英検5級,car,車,乗り物
英検5級,cat,猫,動物
英検5級,chair,いす,学校
英検5級,class,授業,学校
英検5級,classroom,教室,基礎語
英検5級,close,閉じる,基礎語
英検5級,cloudy,くもりの,天気
英検5級,cold,寒い,基礎語
英検5級,come,来る,基礎語
英検5級,computer,コンピューター,生活
英検5級,cook,料理する,基礎語
英検5級,cool,涼しい,基礎語
英検5級,cow,牛,動物
英検5級,cute,かわいい,形容詞
英検5級,dance,踊る,基礎語
英検5級,desk,机,学校
英検5級,dinner,夕食,食べ物
英検5級,dog,犬,動物
英検5級,door,ドア,基礎語
英検5級,drink,飲む,基礎語
英検5級,eat,食べる,基礎語
英検5級,egg,卵,食べ物
英検5級,eight,8,数
英検5級,english,英語,学校
英検5級,evening,夕方,基礎語
英検5級,fall,秋,季節
英検5級,family,家族,家族
英検5級,fast,速い,基礎語
英検5級,father,父,家族
英検5級,favorite,お気に入りの,基礎語
英検5級,fish,魚,動物
英検5級,five,5,数
英検5級,flower,花,基礎語
英検5級,food,食べ物,食べ物
英検5級,four,4,数
英検5級,free,自由な,基礎語
英検5級,friday,金曜日,時間
英検5級,friend,友だち,人
英検5級,fruit,果物,基礎語
英検5級,game,ゲーム,遊び
英検5級,girl,少女,人
英検5級,go,行く,基礎語
英検5級,good,よい,基礎語
英検5級,green,緑の,色
英検5級,guitar,ギター,音楽
英検5級,happy,幸せな,基礎語
英検5級,have,持っている,基礎語
英検5級,help,助ける,基礎語
英検5級,home,家,場所
英検5級,horse,馬,動物
英検5級,hospital,病院,場所
英検5級,hot,暑い,基礎語
英検5級,house,家,場所
英検5級,japan,日本,場所
英検5級,juice,ジュース,飲み物
英検5級,jump,跳ぶ,基礎語
英検5級,know,知っている,基礎語
英検5級,like,好き,基礎語
英検5級,listen,聞く,基礎語
英検5級,long,長い,基礎語
英検5級,look,見る,基礎語
英検5級,lunch,昼食,食べ物
英検5級,make,作る,基礎語
英検5級,man,男性,人
英検5級,map,地図,学校
英検5級,math,数学,学校
英検5級,meat,肉,基礎語
英検5級,milk,牛乳,飲み物
英検5級,monday,月曜日,時間
英検5級,month,月,時間
英検5級,moon,月,基礎語
英検5級,morning,朝,基礎語
英検5級,mother,母,家族
英検5級,music,音楽,学校
英検5級,name,名前,人
英検5級,new,新しい,基礎語
英検5級,nice,すてきな,基礎語
英検5級,night,夜,基礎語
英検5級,nine,9,数
英検5級,notebook,ノート,学校
英検5級,old,古い,基礎語
英検5級,one,1,数
英検5級,open,開ける,基礎語
英検5級,orange,オレンジ,基礎語
英検5級,paper,紙,基礎語
英検5級,parent,親,家族
英検5級,park,公園,場所
英検5級,pen,ペン,学校
英検5級,pencil,鉛筆,学校
英検5級,phone,電話,生活
英検5級,piano,ピアノ,音楽
英検5級,picture,絵,学校
英検5級,play,遊ぶ,基礎語
英検5級,rain,雨,基礎語
英検5級,rainy,雨の,天気
英検5級,read,読む,基礎語
英検5級,red,赤い,色
英検5級,rice,米,食べ物
英検5級,room,部屋,場所
英検5級,run,走る,基礎語
英検5級,sad,悲しい,基礎語
英検5級,saturday,土曜日,時間
英検5級,school,学校,場所
英検5級,see,見る,基礎語
英検5級,seven,7,数
英検5級,shop,店,場所
英検5級,short,短い,基礎語
英検5級,sing,歌う,基礎語
英検5級,sister,姉妹,家族
英検5級,six,6,数
英検5級,sky,空,基礎語
英検5級,slow,遅い,基礎語
英検5級,small,小さい,基礎語
英検5級,snow,雪,基礎語
英検5級,soccer,サッカー,スポーツ
英検5級,song,歌,音楽
英検5級,speak,話す,基礎語
英検5級,sport,スポーツ,スポーツ
英検5級,spring,春,季節
英検5級,star,星,基礎語
英検5級,station,駅,場所
英検5級,store,店,場所
英検5級,student,生徒,人
英検5級,study,勉強する,基礎語
英検5級,subject,科目,学校
英検5級,summer,夏,季節
英検5級,sun,太陽,基礎語
英検5級,sunday,日曜日,時間
英検5級,sunny,晴れた,天気
英検5級,swim,泳ぐ,基礎語
英検5級,table,テーブル,基礎語
英検5級,tea,お茶,飲み物
英検5級,teacher,先生,人
英検5級,ten,10,数
英検5級,tennis,テニス,スポーツ
英検5級,thank,感謝する,基礎語
英検5級,three,3,数
英検5級,thursday,木曜日,時間
英検5級,today,今日,基礎語
英検5級,tomorrow,明日,基礎語
英検5級,train,電車,乗り物
英検5級,tree,木,基礎語
英検5級,tuesday,火曜日,時間
英検5級,tv,テレビ,生活
英検5級,two,2,数
英検5級,walk,歩く,基礎語
英検5級,want,欲しい,基礎語
英検5級,warm,暖かい,基礎語
英検5級,watch,見る,基礎語
英検5級,water,水,飲み物
英検5級,wednesday,水曜日,時間
英検5級,week,週,時間
英検5級,white,白い,色
英検5級,window,窓,基礎語
英検5級,winter,冬,季節
英検5級,woman,女性,人
英検5級,write,書く,基礎語
英検5級,year,年,時間
英検5級,yellow,黄色の,色
英検5級,yesterday,昨日,基礎語
